1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
0 0 1 2 4 6 9 12 16 20 25 30 36 42 49 56 64 72 81 90 100 110 121 132 144 156 169 182 196 210 
0 0 0 0 0 1 2 4 7 11 16 23 31 41 53 67 83 102 123 147 174 204 237 274 314 358 406 458 514 575 
0 0 0 0 0 0 0 0 0 1 2 4 7 12 18 27 38 53 71 94 121 155 194 241 295 359 431 515 609 717 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 7 12 19 29 42 60 83 113 150 197 254 324 408 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 7 12 19 30 44 64 90 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
0 1 2 4 6 9 12 16 20 25 30 36 42 49 56 64 72 81 90 100 110 121 132 144 156 169 182 196 210 225 
0 0 0 0 1 2 4 7 11 16 23 31 41 53 67 83 102 123 147 174 204 237 274 314 358 406 458 514 575 640 
0 0 0 0 0 0 0 0 1 2 4 7 12 18 27 38 53 71 94 121 155 194 241 295 359 431 515 609 717 837 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 7 12 19 29 42 60 83 113 150 197 254 324 408 509 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 7 12 19 30 44 64 90 125 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 7 
